"Step","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr1e-4 - eval/loss","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr1e-4 - eval/loss__MIN","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr1e-4 - eval/loss__MAX","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr8 - eval/loss","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr8 - eval/loss__MIN","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr8 - eval/loss__MAX","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr4 - eval/loss","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr4 - eval/loss__MIN","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-icae-0411-lr4 - eval/loss__MAX","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-simplellm-0411-lr4 - eval/loss","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-simplellm-0411-lr4 - eval/loss__MIN","Qwen/Qwen3-8B-repoqa-icae/data/checkpoints/finetune/repoqa-simplellm-0411-lr4 - eval/loss__MAX"
"10","","","","","","","","","","0.1156921461224556","0.1156921461224556","0.1156921461224556"
"20","","","","","","","0.35456568002700806","0.35456568002700806","0.35456568002700806","","",""
"21","","","","","","","","","","0.059856899082660675","0.059856899082660675","0.059856899082660675"
"32","","","","","","","","","","0.05104012414813042","0.05104012414813042","0.05104012414813042"
"40","0.3106718361377716","0.3106718361377716","0.3106718361377716","0.3115334212779999","0.3115334212779999","0.3115334212779999","","","","","",""
"41","","","","","","","0.30553972721099854","0.30553972721099854","0.30553972721099854","","",""
"43","","","","","","","","","","0.039995983242988586","0.039995983242988586","0.039995983242988586"
"54","","","","","","","","","","0.037375565618276596","0.037375565618276596","0.037375565618276596"
"62","","","","","","","0.2812468111515045","0.2812468111515045","0.2812468111515045","","",""
"65","","","","","","","","","","0.03331613913178444","0.03331613913178444","0.03331613913178444"
"76","","","","","","","","","","0.03120964579284191","0.03120964579284191","0.03120964579284191"
"81","0.2699566185474396","0.2699566185474396","0.2699566185474396","0.27827560901641846","0.27827560901641846","0.27827560901641846","","","","","",""
"83","","","","","","","0.2687164843082428","0.2687164843082428","0.2687164843082428","","",""
"87","","","","","","","","","","0.029460038989782333","0.029460038989782333","0.029460038989782333"
"98","","","","","","","","","","0.03177536278963089","0.03177536278963089","0.03177536278963089"
"104","","","","","","","0.24095597863197327","0.24095597863197327","0.24095597863197327","","",""
"109","","","","","","","","","","0.02791251800954342","0.02791251800954342","0.02791251800954342"
"120","","","","","","","","","","0.026945650577545166","0.026945650577545166","0.026945650577545166"
"122","0.22004345059394836","0.22004345059394836","0.22004345059394836","0.21460528671741486","0.21460528671741486","0.21460528671741486","","","","","",""
"125","","","","","","","0.2302647829055786","0.2302647829055786","0.2302647829055786","","",""
"131","","","","","","","","","","0.02861759625375271","0.02861759625375271","0.02861759625375271"
"142","","","","","","","","","","0.03050871379673481","0.03050871379673481","0.03050871379673481"
"146","","","","","","","0.21666564047336578","0.21666564047336578","0.21666564047336578","","",""
"153","","","","","","","","","","0.02721441350877285","0.02721441350877285","0.02721441350877285"
"163","0.20254836976528168","0.20254836976528168","0.20254836976528168","0.1853380650281906","0.1853380650281906","0.1853380650281906","","","","","",""
"164","","","","","","","","","","0.027712006121873856","0.027712006121873856","0.027712006121873856"
"167","","","","","","","0.19708047807216644","0.19708047807216644","0.19708047807216644","","",""
"175","","","","","","","","","","0.026157157495617867","0.026157157495617867","0.026157157495617867"
"186","","","","","","","","","","0.028277350589632988","0.028277350589632988","0.028277350589632988"
"188","","","","","","","0.19738678634166718","0.19738678634166718","0.19738678634166718","","",""
"197","","","","","","","","","","0.02955538220703602","0.02955538220703602","0.02955538220703602"
"204","0.19495877623558044","0.19495877623558044","0.19495877623558044","0.18930783867835999","0.18930783867835999","0.18930783867835999","","","","","",""
"208","","","","","","","","","","0.028472885489463806","0.028472885489463806","0.028472885489463806"
"209","","","","","","","0.193868026137352","0.193868026137352","0.193868026137352","","",""
"219","","","","","","","","","","0.026027433574199677","0.026027433574199677","0.026027433574199677"
"230","","","","","","","0.18895874917507172","0.18895874917507172","0.18895874917507172","0.02026156336069107","0.02026156336069107","0.02026156336069107"
"241","","","","","","","","","","0.0235567856580019","0.0235567856580019","0.0235567856580019"
"245","0.185262069106102","0.185262069106102","0.185262069106102","0.17350399494171143","0.17350399494171143","0.17350399494171143","","","","","",""
"251","","","","","","","0.18880969285964966","0.18880969285964966","0.18880969285964966","","",""
"252","","","","","","","","","","0.02036852017045021","0.02036852017045021","0.02036852017045021"
"263","","","","","","","","","","0.021820055320858955","0.021820055320858955","0.021820055320858955"
"272","","","","","","","0.18309058248996735","0.18309058248996735","0.18309058248996735","","",""
"274","","","","","","","","","","0.02398275025188923","0.02398275025188923","0.02398275025188923"
"285","","","","","","","","","","0.021392907947301865","0.021392907947301865","0.021392907947301865"
"286","0.17540490627288818","0.17540490627288818","0.17540490627288818","0.15026050806045532","0.15026050806045532","0.15026050806045532","","","","","",""
"293","","","","","","","0.1771976202726364","0.1771976202726364","0.1771976202726364","","",""
"296","","","","","","","","","","0.022809110581874847","0.022809110581874847","0.022809110581874847"
"307","","","","","","","","","","0.02119843289256096","0.02119843289256096","0.02119843289256096"
"314","","","","","","","0.17664596438407898","0.17664596438407898","0.17664596438407898","","",""
"318","","","","","","","","","","0.020149819552898407","0.020149819552898407","0.020149819552898407"
"327","0.17492711544036865","0.17492711544036865","0.17492711544036865","0.1446545422077179","0.1446545422077179","0.1446545422077179","","","","","",""
"329","","","","","","","","","","0.02030375972390175","0.02030375972390175","0.02030375972390175"
"335","","","","","","","0.1778097003698349","0.1778097003698349","0.1778097003698349","","",""
"340","","","","","","","","","","0.020672114565968513","0.020672114565968513","0.020672114565968513"
"344","","","","","","","","","","0.020442070439457893","0.020442070439457893","0.020442070439457893"
"356","","","","","","","0.1731119155883789","0.1731119155883789","0.1731119155883789","","",""
"368","0.15983983874320984","0.15983983874320984","0.15983983874320984","0.14260917901992798","0.14260917901992798","0.14260917901992798","","","","","",""
"377","","","","","","","0.17757803201675415","0.17757803201675415","0.17757803201675415","","",""
"398","","","","","","","0.17496447265148163","0.17496447265148163","0.17496447265148163","","",""
"409","0.14870920777320862","0.14870920777320862","0.14870920777320862","0.1325192004442215","0.1325192004442215","0.1325192004442215","","","","","",""
"419","","","","","","","0.17303158342838287","0.17303158342838287","0.17303158342838287","","",""
"450","0.13662268221378326","0.13662268221378326","0.13662268221378326","0.12821660935878754","0.12821660935878754","0.12821660935878754","","","","","",""
"491","0.13451723754405975","0.13451723754405975","0.13451723754405975","0.12401903420686722","0.12401903420686722","0.12401903420686722","","","","","",""
"532","0.13142898678779602","0.13142898678779602","0.13142898678779602","0.12337593734264374","0.12337593734264374","0.12337593734264374","","","","","",""
"573","0.13171643018722534","0.13171643018722534","0.13171643018722534","0.118312306702137","0.118312306702137","0.118312306702137","","","","","",""
"614","0.13686169683933258","0.13686169683933258","0.13686169683933258","0.1140482947230339","0.1140482947230339","0.1140482947230339","","","","","",""
"655","0.13273873925209045","0.13273873925209045","0.13273873925209045","0.11670183390378952","0.11670183390378952","0.11670183390378952","","","","","",""
"696","0.12395254522562027","0.12395254522562027","0.12395254522562027","0.11163273453712463","0.11163273453712463","0.11163273453712463","","","","","",""
"737","0.12842577695846558","0.12842577695846558","0.12842577695846558","0.11061328649520874","0.11061328649520874","0.11061328649520874","","","","","",""
"778","0.12737366557121277","0.12737366557121277","0.12737366557121277","0.10910984873771667","0.10910984873771667","0.10910984873771667","","","","","",""
"819","0.1327124834060669","0.1327124834060669","0.1327124834060669","0.11312536895275116","0.11312536895275116","0.11312536895275116","","","","","",""
"860","0.1295616179704666","0.1295616179704666","0.1295616179704666","0.1115557923913002","0.1115557923913002","0.1115557923913002","","","","","",""
"901","0.13008242845535278","0.13008242845535278","0.13008242845535278","0.11133918911218643","0.11133918911218643","0.11133918911218643","","","","","",""
"942","0.12931948900222778","0.12931948900222778","0.12931948900222778","0.11172769963741302","0.11172769963741302","0.11172769963741302","","","","","",""
"983","0.12992483377456665","0.12992483377456665","0.12992483377456665","0.11091580986976624","0.11091580986976624","0.11091580986976624","","","","","",""
"1024","0.12967637181282043","0.12967637181282043","0.12967637181282043","0.1114133968949318","0.1114133968949318","0.1114133968949318","","","","","",""
"1065","0.12989023327827454","0.12989023327827454","0.12989023327827454","0.11191798001527786","0.11191798001527786","0.11191798001527786","","","","","",""
"1067","0.12989023327827454","0.12989023327827454","0.12989023327827454","0.11191798001527786","0.11191798001527786","0.11191798001527786","","","","","",""